Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
S-1-pyrroline-5-carboxylate,(S)-1-Pyrroline-5-carboxylate,HMDB0001301,1196,1372,C03912,6145,OC(=O)C1CCC=N1,1
spermidine,Spermidine,HMDB0001257,1102,16610,C00315,254,NCCCCNCCCN,1
1-methylnicotimide,1-Methylnicotimide,HMDB0000699,457,16797,C02918,5667,C[N+]1=CC=CC(=C1)C(N)=O,1
"12,13-DiHOME","12,13-DHOME",HMDB0004705,10236635,72665,C14829,,CCCCCC(C(C/C=C\CCCCCCCC(=O)O)O)O,1
5-hydroxyindoleacetate,5-Hydroxyindoleacetic acid,HMDB0000763,1826,27823,C05635,2975,OC(=O)CC1=CNC2=C1C=C(O)C=C2,1
alpha-ketoglutarate,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,OC(=O)CCC(=O)C(O)=O,1
kynurete,Kynurenic acid,HMDB0000715,3845,18344,C01717,5683,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,1
3-hydroxyisobutyrate,(S)-3-Hydroxyisobutyric acid,HMDB0000023,440873,37373,C06001,483,C[C@@H](CO)C(O)=O,1
3-hydroxy-3-methylglutarate,3-Hydroxymethylglutaric acid,HMDB0000355,1662,16831,C03761,5344,CC(CC(=O)O)(CC(=O)O)O,1
homovanillate (HVA),Homovanillic acid,HMDB0000118,1738,545959,C05582,971,COC1=CC(CC(O)=O)=CC=C1O,1
3-phosphoglycerate,3-Phosphoglyceric acid,HMDB0000807,724,17050,C00597,150,OC(COP(O)(O)=O)C(O)=O,1
cholate,Cholic acid,HMDB0000619,221493,16359,C00695,206,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
4-hydroxyphenylacetate,p-Hydroxyphenylacetic acid,HMDB0000020,127,18101,C00642,130,OC(=O)CC1=CC=C(O)C=C1,1
"5,6-dihydrothymine",Dihydrothymine,HMDB0000079,93556,27468,C00906,5135,CC1CNC(=O)NC1=O,1
hypoxanthine,Hypoxanthine,HMDB0000157,790,17368,C00262,83,OC1=NC=NC2=C1NC=N2,1
"9,10-DiHOME","9,10-DHOME",HMDB0004704,9966640,72663,C14828,,CCCCC/C=C\CC(C(CCCCCCCC(=O)O)O)O,1
linoleate (18:2n6),Linoleic acid,HMDB0000673,5280450,17351,C01595,191,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,1
laurate (12:0),Dodecanoic acid,HMDB0000638,3893,30805,C02679,5611,CCCCCCCCCCCC(=O)O,1
quinolite,Quinolinic acid,HMDB0000232,1066,16675,C03722,330,OC(=O)C1=CC=CN=C1C(O)=O,1
